"","team_api_id","team_long_name","buildUpPlay_sum","chanceCreation_sum","defence_sum","goals"
"1",1601,"Ruch Chorzów",70,155,175,280
"2",1773,"Oud-Heverlee Leuven",102,157,137,126
"3",1957,"Jagiellonia Białystok",80,150,210,287
"4",2033,"S.C. Olhanense",100,155,155,138
"5",2182,"Lech Poznań",75,155,160,372
"6",2183,"P. Warszawa",70,155,175,184
"7",2186,"Cracovia",75,140,205,235
"8",4087,"Évian Thonon Gaillard FC",100,180,165,180
"9",4170,"US Boulogne Cote D'Opale",75,150,200,31
"10",6269,"Novara",88,163,151,34
"11",6351,"KAS Eupen",105,160,155,28
"12",6391,"GFC Ajaccio",113,179,146,37
"13",6403,"FC Paços de Ferreira",60,170,90,292
"14",6413,"PEC Zwolle",96,154,141,204
"15",6421,"Leixões SC",60,165,90,55
"16",6433,"Go Ahead Eagles",144,132,141,74
"17",6493,"AC Bellinzona",90,175,150,128
"18",6547,"FC Penafiel",147,146,121,29
"19",6631,"FC Dordrecht",134,176,164,24
"20",7730,"FC Lausanne-Sports",90,160,165,99
"21",7788,"SC Cambuur",126,159,138,119
"22",7794,"SC Bastia",85,140,210,165
"23",7819,"SM Caen",95,155,205,220
"24",7841,"Rio Ave FC",60,160,90,248
"25",7842,"Estoril Praia",118,139,150,167
"26",7844,"Vitória Guimarães",60,165,90,300
"27",7869,"Córdoba CF",60,140,105,22
"28",7878,"Granada CF",105,168,170,179
"29",7943,"Sassuolo",60,120,90,141
"30",7955,"Neuchâtel Xamax",105,190,150,171
"31",8019,"Górnik Łęczna",140,139,149,61
"32",8020,"Polonia Bytom",80,150,185,245
"33",8021,"Zagłębie Lubin",115,140,210,207
"34",8023,"Pogoń Szczecin",121,185,157,152
"35",8024,"Widzew Łódź",111,169,158,122
"36",8025,"Śląsk Wrocław",75,150,180,318
"37",8027,"Zawisza Bydgoszcz",145,168,143,75
"38",8028,"Piast Gliwice",75,150,195,204
"39",8030,"Lechia Gdańsk",75,150,205,279
"40",8031,"Polonia Bytom",80,150,185,88
"41",8033,"Podbeskidzie Bielsko-Biała",105,137,152,169
"42",8066,"Inverness Caledonian Thistle",103,154,130,345
"43",8121,"Angers SCO",80,145,115,40
"44",8152,"FC St. Pauli",120,190,185,35
"45",8165,"1. FC Nürnberg",95,180,150,193
"46",8177,"Hertha BSC Berlin",110,155,140,238
"47",8178,"Bayer 04 Leverkusen",100,210,200,483
"48",8191,"Burnley",135,210,205,70
"49",8194,"Fortuna Düsseldorf",100,172,169,39
"50",8197,"Leicester City",140,185,210,114
"51",8203,"KV Mechelen",125,140,190,285
"52",8226,"TSG 1899 Hoffenheim",100,180,200,400
"53",8234,"FC Ingolstadt 04",101,151,140,33
"54",8242,"Odra Wodzisław",75,155,205,50
"55",8244,"Widzew Łódź",111,169,158,50
"56",8245,"Korona Kielce",75,150,170,237
"57",8262,"SV Darmstadt 98",179,174,129,38
"58",8277,"Vitesse",70,150,90,423
"59",8284,"Dundee FC",99,151,154,127
"60",8295,"Karlsruher SC",105,205,170,30
"61",8302,"Sevilla FC",60,200,195,478
"62",8305,"Getafe CF",65,155,120,345
"63",8306,"UD Las Palmas",60,155,125,45
"64",8315,"Athletic Club de Bilbao",105,160,135,415
"65",8322,"Arka Gdynia",75,150,205,77
"66",8342,"Club Brugge KV",75,140,200,421
"67",8344,"Cardiff City",135,210,210,32
"68",8348,"Moreirense FC",81,144,138,101
"69",8350,"1. FC Kaiserslautern",100,185,210,72
"70",8357,"SpVgg Greuther Fürth",100,170,155,26
"71",8358,"SC Freiburg",80,160,155,245
"72",8370,"Rayo Vallecano",70,155,120,247
"73",8371,"CA Osasuna",70,165,150,232
"74",8372,"SD Eibar",165,179,142,83
"75",8388,"CD Numancia",95,160,140,38
"76",8394,"Real Zaragoza",60,155,115,159
"77",8398,"FC Energie Cottbus",100,130,206,30
"78",8406,"FC Augsburg",90,175,145,201
"79",8426,"Partick Thistle F.C.",135,151,143,135
"80",8429,"Hamilton Academical FC",140,200,195,185
"81",8455,"Chelsea",130,196,125,583
"82",8456,"Manchester City",130,195,145,606
"83",8457,"Dunfermline Athletic",115,168,148,40
"84",8460,"SC Paderborn 07",119,139,108,31
"85",8462,"Portsmouth",140,195,150,72
"86",8464,"N.E.C.",62,135,90,310
"87",8466,"Southampton",125,205,210,216
"88",8467,"St. Johnstone FC",120,150,130,308
"89",8472,"Sunderland",130,195,140,333
"90",8475,"Waasland-Beveren",115,134,114,105
"91",8479,"RC Recreativo",90,130,130,34
"92",8481,"AS Nancy-Lorraine",105,160,210,203
"93",8483,"Blackpool",140,205,210,55
"94",8485,"Aberdeen",140,210,200,365
"95",8521,"Stade Brestois 29",90,130,210,99
"96",8524,"Atalanta",75,120,115,283
"97",8525,"Willem II",65,135,90,222
"98",8526,"De Graafschap",70,153,137,130
"99",8528,"Wigan Athletic",140,190,140,200
"100",8529,"Cagliari",70,120,155,309
"101",8530,"Catania",65,120,140,251
"102",8533,"Chievo Verona",75,145,165,285
"103",8534,"Empoli",60,115,90,86
"104",8535,"Fiorentina",97,170,135,440
"105",8537,"Livorno",60,115,90,66
"106",8540,"Palermo",113,130,145,351
"107",8543,"Lazio",110,160,175,417
"108",8548,"Rangers",115,210,200,324
"109",8549,"Middlesbrough",140,190,130,28
"110",8550,"FC Metz",80,175,110,31
"111",8551,"Siena",65,115,160,149
"112",8558,"RCD Espanyol",95,195,180,338
"113",8559,"Bolton Wanderers",125,185,140,181
"114",8560,"Real Sociedad",70,160,110,316
"115",8564,"Milan",75,170,125,496
"116",8569,"GKS Bełchatów",80,155,200,190
"117",8571,"KV Kortrijk",110,150,185,267
"118",8573,"KV Oostende",155,140,133,102
"119",8576,"AC Ajaccio",100,135,130,116
"120",8581,"Levante UD",60,155,115,241
"121",8583,"AJ Auxerre",100,135,115,168
"122",8586,"Tottenham Hotspur",120,165,150,481
"123",8588,"RC Lens",60,180,200,107
"124",8592,"Olympique de Marseille",100,205,200,462
"125",8593,"Ajax",60,180,90,647
"126",8596,"Falkirk",140,200,200,68
"127",8597,"Kilmarnock",140,205,200,346
"128",8600,"Udinese",99,150,120,415
"129",8602,"Wolverhampton Wanderers",140,210,210,118
"130",8603,"Real Betis Balompié",90,135,150,225
"131",8611,"FC Twente",60,145,90,509
"132",8613,"Boavista FC",153,128,148,51
"133",8614,"Sparta Rotterdam",75,140,90,76
"134",8633,"Real Madrid CF",85,200,170,843
"135",8634,"FC Barcelona",72,175,170,849
"136",8635,"RSC Anderlecht",85,180,190,427
